Id,Solution
1,0
2,1
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,1
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,1
21,1
22,0
23,1
24,1
25,0
26,1
27,1
28,0
29,0
30,1
31,0
32,1
33,1
34,1
35,1
36,0
37,0
38,0
39,1
40,0
41,1
42,1
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,0
77,0
78,1
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,1
93,1
94,0
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,1
103,0
104,1
105,1
106,0
107,1
108,1
109,0
110,1
111,0
112,0
113,1
114,1
115,1
116,0
117,1
118,0
119,0
120,0
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,1
144,1
145,0
146,0
147,1
148,0
149,1
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,1
158,1
159,0
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,1
176,1
177,1
178,0
179,0
180,1
181,1
182,0
183,0
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,1
195,1
196,0
197,1
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,0
225,0
226,1
227,0
228,1
229,1
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,0
245,1
246,0
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,0
263,0
264,1
265,1
266,1
267,0
268,1
269,1
270,1
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,0
280,1
281,1
282,0
283,1
284,1
285,1
286,1
287,0
288,0
289,0
290,1
291,1
292,0
293,0
294,0
295,0
296,1
297,0
298,0
299,0
300,1
301,0
302,0
303,1
304,1
305,0
306,0
307,0
308,1
309,0
310,1
311,0
312,1
313,0
314,0
315,1
316,1
317,1
318,1
319,0
320,1
321,0
322,0
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,1
331,0
332,0
333,0
334,0
335,0
336,1
337,1
338,1
339,1
340,0
341,1
342,0
343,0
344,1
345,1
346,1
347,1
348,1
349,1
350,0
351,0
352,0
353,1
354,0
355,1
356,1
357,0
358,1
359,0
360,1
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,1
380,0
381,0
382,0
383,0
384,0
385,1
386,0
387,1
388,1
389,1
390,1
391,0
392,1
393,1
394,1
395,0
396,0
397,0
398,1
399,0
400,1
401,0
402,1
403,0
404,0
405,0
406,1
407,1
408,1
409,1
410,0
411,1
412,0
413,1
414,0
415,0
416,1
417,1
418,0
419,1
